EmployeeNumber,YearsInCurrentRole,YearsWithCurrManager,YearsSinceLastPromotion
1,4,5,0
2,7,7,1
4,0,0,0
5,7,0,3
7,2,2,2
8,7,6,3
10,0,0,0
11,0,0,0
12,7,8,1
13,7,7,7
14,4,3,0
15,5,8,0
16,2,3,4
18,2,2,1
19,2,3,0
20,9,8,8
21,2,5,0
22,0,0,0
23,8,7,3
24,2,2,1
26,2,3,1
27,3,3,0
28,6,11,2
30,0,0,0
31,2,3,1
32,13,8,4
33,2,7,6
35,7,2,4
36,6,17,5
38,2,1,2
39,1,0,0
40,2,3,1
41,0,8,1
42,0,0,0
45,0,0,2
46,3,4,1
47,2,2,0
49,2,2,2
51,1,0,0
52,3,3,1
53,0,0,0
54,0,0,0
55,0,1,0
56,8,7,1
57,8,7,3
58,15,8,15
60,5,7,8
61,0,0,0
62,6,8,0
63,0,1,0
64,0,0,0
65,2,2,2
68,3,3,1
70,0,3,2
72,2,0,0
73,14,12,8
74,8,8,1
75,2,2,2
76,7,7,1
77,5,7,0
78,8,8,7
79,3,9,9
80,3,8,13
81,16,9,7
83,14,8,12
84,0,2,0
85,5,3,0
86,0,0,0
88,2,2,1
90,0,0,0
91,3,3,1
94,4,4,0
95,1,0,1
96,4,9,0
97,0,0,0
98,7,8,1
100,13,8,2
101,0,0,0
102,2,2,0
103,2,2,0
104,8,0,3
105,4,4,0
106,0,0,1
107,11,9,1
110,2,3,1
112,4,2,0
113,0,0,0
116,2,3,0
117,10,8,10
118,8,7,4
119,3,11,11
120,7,0,1
121,8,7,2
124,9,5,9
125,8,7,5
126,3,3,0
128,2,2,0
129,4,4,0
131,10,8,1
132,2,2,1
133,2,2,0
134,0,0,0
137,0,0,1
138,13,10,2
139,0,0,0
140,2,2,2
141,3,7,0
142,4,3,0
143,2,1,2
144,0,0,0
145,12,8,12
147,7,6,0
148,3,4,4
150,3,2,1
151,0,0,0
152,3,3,1
153,10,8,5
154,7,8,2
155,0,0,0
158,12,12,4
159,7,9,0
160,7,7,0
161,4,3,4
162,18,15,15
163,7,7,7
164,4,3,4
165,10,6,15
167,0,0,0
169,1,1,2
170,11,11,5
171,2,2,1
174,2,1,2
175,2,2,2
176,7,7,0
177,7,7,5
178,2,1,0
179,2,3,0
182,11,9,5
183,2,2,2
184,9,7,4
190,4,4,0
192,5,3,0
193,2,2,2
194,4,4,0
195,7,7,0
197,2,2,2
198,3,2,1
199,6,7,7
200,0,4,1
201,0,0,0
202,7,13,2
204,8,6,0
205,7,5,4
206,9,15,0
207,8,7,3
208,7,9,0
211,0,0,0
214,0,0,0
215,11,11,2
216,3,2,1
217,2,2,2
218,2,2,2
221,2,2,0
223,3,4,1
224,1,1,0
226,4,4,4
227,8,8,1
228,9,4,7
230,3,7,0
231,4,4,1
233,2,1,1
235,0,0,0
238,7,2,7
239,9,10,6
240,4,3,0
241,2,2,2
242,1,2,0
243,0,0,1
244,13,7,15
245,2,1,2
246,2,2,0
247,2,2,1
248,3,2,0
249,2,2,0
250,2,3,1
252,7,6,1
253,8,9,9
254,15,15,2
256,9,9,1
258,7,0,1
259,18,9,11
260,7,3,0
261,0,1,0
262,4,2,2
264,8,8,11
267,7,7,1
269,2,2,1
270,3,2,0
271,0,0,0
273,7,7,1
274,2,0,2
275,7,7,1
277,3,0,2
281,2,7,3
282,0,0,0
283,4,9,1
284,2,2,2
286,1,7,1
287,2,2,0
288,2,3,0
291,8,8,9
292,8,8,5
293,7,7,0
296,9,7,4
297,2,4,0
298,0,0,0
299,3,1,0
300,2,5,1
302,7,8,12
303,2,5,0
304,11,7,3
305,2,1,1
306,8,7,0
307,10,13,5
308,4,4,1
309,0,0,0
311,8,8,5
312,10,1,4
314,7,8,0
315,3,1,0
316,2,2,2
319,17,15,11
321,2,2,2
323,0,6,0
325,4,4,0
327,13,9,1
328,7,7,1
329,7,12,15
330,3,2,1
331,2,2,1
332,2,2,1
333,2,2,2
334,0,0,0
335,8,7,4
336,0,7,1
337,2,2,2
338,2,2,0
339,9,9,5
340,1,2,0
341,2,2,0
342,0,0,0
343,6,8,11
346,5,5,1
347,2,2,0
349,2,2,0
350,2,2,1
351,6,8,7
352,7,9,3
353,0,0,0
355,4,4,1
359,1,3,0
361,7,5,7
362,2,4,0
363,7,7,7
364,0,0,0
366,0,0,0
367,0,8,7
369,3,5,1
372,7,10,4
373,13,11,10
374,10,13,4
376,7,9,9
377,2,4,0
378,4,1,0
379,2,0,1
380,2,2,0
381,7,2,6
382,0,7,7
384,5,4,1
385,4,6,1
386,3,3,1
387,16,6,11
388,7,9,0
389,7,8,0
390,3,3,3
391,12,7,5
392,0,0,0
393,2,2,1
394,2,2,0
395,3,2,0
396,2,2,1
397,0,7,7
399,2,2,2
401,7,4,7
403,2,2,1
404,4,8,4
405,0,0,0
406,9,9,6
407,0,0,0
408,1,2,1
410,10,4,0
411,0,0,0
412,3,7,0
416,7,7,7
417,10,7,3
419,8,8,0
420,8,8,4
421,8,1,0
422,3,2,1
423,2,3,0
424,2,0,1
425,9,11,9
426,2,2,2
428,6,8,8
429,9,10,11
430,7,7,1
431,1,7,0
433,2,7,7
434,3,2,1
436,12,9,11
437,4,4,0
438,7,7,1
439,7,7,0
440,2,2,2
441,8,9,1
442,9,9,8
444,9,3,13
445,0,0,0
446,7,1,0
447,2,1,1
448,7,0,0
449,4,4,1
450,3,3,0
451,0,0,0
452,9,8,9
453,3,2,0
454,7,7,0
455,2,2,2
456,9,2,1
458,7,7,0
460,2,4,0
461,10,9,2
462,9,10,4
463,7,7,1
464,6,13,0
465,2,2,0
466,4,2,1
467,0,0,0
468,0,0,0
469,3,2,0
470,2,0,1
471,0,7,0
473,0,0,0
474,7,7,6
475,2,2,2
476,7,7,7
477,0,0,0
478,2,2,1
479,0,0,0
481,9,12,1
482,2,2,1
483,7,7,1
484,2,2,2
485,0,0,0
486,4,3,0
487,0,0,0
488,7,7,7
491,3,3,1
492,4,0,1
493,2,2,2
494,0,0,0
495,2,2,1
496,1,0,0
497,2,4,0
498,5,7,0
499,2,0,0
500,7,7,0
501,2,2,2
502,2,4,0
505,4,2,1
507,2,3,0
508,0,0,0
510,4,4,0
511,1,2,1
513,9,0,9
514,0,0,0
515,7,17,12
516,4,3,1
517,2,2,1
518,0,1,0
520,10,9,3
521,0,0,0
522,2,2,1
523,2,2,1
524,10,12,3
525,2,2,1
526,2,2,0
527,4,3,1
529,11,7,10
530,2,2,3
531,8,6,1
532,7,7,7
533,4,4,4
534,7,7,0
536,0,8,1
538,2,2,0
543,4,4,0
544,2,2,0
546,2,4,1
547,4,2,0
548,4,2,0
549,8,10,11
550,7,8,0
551,5,4,0
554,3,4,1
555,2,0,1
556,0,0,0
558,15,12,1
560,2,2,0
562,3,4,1
564,2,7,0
565,2,1,1
566,0,0,0
567,8,8,7
568,0,0,0
569,10,7,15
571,7,7,6
573,13,11,13
574,0,4,0
575,2,1,0
577,4,3,4
578,0,0,0
579,3,7,5
580,2,2,1
581,8,8,0
582,6,7,7
584,3,3,1
585,2,2,1
586,7,0,0
587,0,0,0
590,2,2,0
591,2,0,2
592,3,7,9
593,2,2,1
595,7,7,6
597,9,7,7
599,3,10,1
600,9,9,6
601,6,13,5
602,3,7,0
604,5,5,0
605,9,8,5
606,7,7,3
608,7,0,1
611,2,2,1
612,1,5,0
613,4,1,0
614,0,0,0
615,0,1,0
616,7,7,0
618,0,0,0
620,4,3,0
621,7,7,5
622,0,0,0
623,5,2,1
624,2,2,1
625,16,8,11
626,5,7,7
630,9,9,6
631,2,2,1
632,2,1,2
634,0,0,0
635,5,3,4
638,9,9,0
639,5,4,1
641,3,4,1
643,0,0,0
644,5,7,10
645,4,6,0
647,3,2,1
648,0,0,0
649,5,3,1
650,1,2,1
652,2,2,0
653,7,7,5
655,3,3,0
656,0,0,1
657,0,0,0
659,2,2,2
661,0,0,0
662,0,0,0
663,7,7,4
664,2,2,0
665,2,2,0
666,2,6,0
667,3,2,0
669,2,2,1
671,2,1,0
675,2,2,2
677,0,2,1
679,4,5,0
680,0,0,0
682,7,10,8
683,9,8,8
684,1,0,0
686,2,2,0
689,7,8,7
690,0,2,1
691,11,8,11
692,11,7,4
698,7,1,7
699,2,2,0
700,2,1,1
701,0,1,1
702,8,7,9
704,0,0,0
705,2,2,0
707,2,2,1
709,7,5,0
710,7,8,2
712,2,2,2
714,5,4,0
715,0,0,0
716,8,8,3
717,7,7,7
720,2,0,2
721,7,10,11
722,7,8,0
723,3,3,1
724,7,8,1
725,7,7,0
727,7,7,7
728,7,7,1
729,13,12,1
730,1,3,1
731,6,6,12
732,2,2,2
733,7,7,1
734,7,10,2
738,2,2,2
741,7,7,3
742,7,5,0
743,0,0,0
744,2,4,1
746,2,13,11
747,7,7,7
749,0,0,0
752,2,2,2
754,2,2,2
757,1,3,4
758,3,2,0
760,3,6,3
762,7,1,1
763,2,3,2
764,6,7,0
766,2,2,2
769,2,2,2
771,0,0,0
772,8,7,4
773,0,1,0
775,0,0,0
776,6,16,1
780,9,8,7
781,5,4,1
783,7,1,3
784,2,2,0
785,4,3,1
786,5,4,1
787,2,4,1
789,7,9,0
791,3,2,1
792,2,0,2
793,7,1,1
796,3,2,1
797,2,3,1
799,3,4,1
800,2,1,1
802,3,3,4
803,7,12,4
804,5,3,1
805,2,2,0
806,2,2,0
807,7,7,3
808,2,2,1
809,7,9,14
811,0,0,0
812,0,0,0
813,2,4,1
815,3,3,0
816,0,0,0
817,9,7,3
819,2,2,0
820,14,0,3
823,7,5,0
824,7,7,0
825,15,8,13
826,2,2,2
827,3,2,0
828,2,1,2
829,2,4,0
830,13,8,6
832,0,0,0
833,0,0,0
834,0,0,0
836,8,8,7
837,3,2,1
838,2,3,1
840,8,7,7
842,7,3,7
843,1,0,1
844,8,8,0
845,5,6,1
846,7,5,7
847,2,2,0
848,7,7,1
850,0,0,0
851,6,17,4
852,2,3,2
854,3,1,0
855,8,8,0
856,5,1,1
857,14,11,4
859,2,3,0
861,4,3,0
862,2,4,0
864,4,2,0
865,3,3,1
867,8,0,0
868,0,0,0
869,1,4,0
872,2,2,2
874,2,2,0
875,1,2,2
878,4,3,0
879,3,3,0
880,14,15,5
881,2,8,7
882,0,2,0
885,2,3,0
887,2,2,0
888,2,4,3
889,8,3,5
893,2,2,1
894,3,3,1
895,4,2,0
896,2,2,0
897,0,2,2
899,10,8,4
900,4,0,0
901,9,8,3
902,2,2,2
903,6,7,7
904,0,9,0
905,6,7,14
909,4,4,0
910,3,3,0
911,0,1,0
912,3,3,0
913,7,1,7
916,2,2,0
918,0,0,0
920,0,0,0
922,2,2,0
923,0,0,0
924,8,11,4
925,2,2,1
926,2,2,0
927,7,0,1
930,2,2,2
932,2,2,2
933,1,0,0
934,0,0,1
936,4,3,0
939,2,2,0
940,0,4,0
941,7,2,5
942,6,7,0
944,9,7,1
945,0,0,0
947,8,0,0
949,2,1,0
950,12,11,5
951,0,2,0
952,0,0,0
954,0,0,0
956,7,7,0
957,13,17,2
958,8,9,3
959,0,0,0
960,0,0,0
961,7,5,8
964,1,0,0
966,7,3,6
967,7,7,3
969,0,4,1
970,1,7,11
972,7,8,0
974,1,2,0
975,2,0,1
976,8,8,7
977,0,0,0
981,13,2,15
982,4,7,7
983,3,3,1
984,9,8,0
985,7,7,0
986,0,0,0
987,10,7,2
990,7,7,0
991,2,2,1
992,8,0,6
994,0,0,0
995,2,2,0
996,3,2,0
997,4,3,1
998,5,2,1
999,16,11,0
1001,2,2,2
1002,8,8,0
1003,0,7,0
1004,2,1,0
1005,11,5,1
1006,1,2,0
1007,7,7,0
1009,2,2,3
1010,2,2,0
1011,3,3,0
1012,0,0,0
1013,7,8,0
1014,10,1,10
1015,7,7,1
1016,0,0,0
1017,2,2,1
1018,7,3,1
1019,3,1,1
1022,2,2,2
1024,11,8,4
1025,2,1,2
1026,6,8,11
1027,2,2,2
1028,2,2,1
1029,0,0,0
1030,0,0,0
1032,3,3,4
1033,0,0,0
1034,7,7,6
1035,16,10,5
1036,0,0,0
1037,2,2,2
1038,14,9,6
1039,11,11,11
1040,7,13,0
1042,13,14,15
1043,6,8,2
1044,2,2,2
1045,3,1,1
1046,7,7,7
1047,1,9,0
1048,4,4,0
1049,3,4,0
1050,7,12,6
1052,0,0,0
1053,2,2,1
1055,1,0,0
1056,0,0,0
1060,2,2,2
1061,1,7,7
1062,3,1,0
1066,7,5,7
1068,3,3,1
1069,2,2,2
1070,4,0,7
1071,4,3,0
1073,8,8,7
1074,7,2,6
1076,0,0,0
1077,2,2,0
1079,0,0,1
1080,13,7,1
1081,0,7,2
1082,7,9,1
1083,3,3,1
1084,2,2,0
1085,6,8,0
1088,9,9,1
1092,10,1,11
1094,2,2,1
1096,2,2,1
1097,7,7,1
1098,6,6,3
1099,2,2,1
1100,7,7,4
1101,7,8,3
1102,2,2,2
1103,2,4,0
1105,0,0,0
1106,7,6,5
1107,1,0,0
1108,2,2,2
1109,6,7,13
1111,0,0,0
1113,0,0,0
1114,2,2,0
1115,0,0,0
1116,4,1,2
1117,10,12,4
1118,6,0,4
1119,7,7,2
1120,5,7,1
1121,7,7,1
1124,9,9,4
1125,0,0,0
1126,7,1,0
1127,7,5,11
1128,7,9,4
1131,2,2,2
1132,4,3,0
1133,9,9,0
1135,2,2,2
1136,3,4,0
1137,2,2,0
1138,8,3,2
1140,2,2,0
1143,5,1,1
1148,0,0,0
1150,7,2,1
1152,6,0,5
1154,1,2,0
1156,0,0,0
1157,2,3,0
1158,0,0,0
1160,2,2,2
1161,2,3,1
1162,2,2,2
1163,5,3,1
1164,4,4,1
1165,8,10,3
1166,7,13,2
1167,9,14,13
1171,4,5,1
1172,0,7,1
1173,3,2,1
1175,1,0,0
1177,7,7,0
1179,3,4,1
1180,1,0,0
1182,7,4,6
1184,9,9,4
1185,2,2,2
1188,3,3,1
1190,0,0,0
1191,2,2,4
1192,8,8,0
1193,1,0,0
1195,2,2,0
1196,8,11,3
1198,2,2,1
1200,4,2,0
1201,7,7,4
1202,4,3,1
1203,0,0,0
1204,15,9,15
1206,0,0,0
1207,4,4,1
1210,0,0,0
1211,3,3,0
1212,0,0,0
1215,2,2,2
1216,5,3,3
1217,2,3,0
1218,7,7,1
1219,0,0,0
1220,7,1,0
1221,7,7,1
1224,7,9,8
1225,11,17,13
1226,1,2,2
1228,3,4,1
1231,3,3,0
1233,7,9,1
1234,2,2,2
1235,7,7,0
1237,7,7,7
1238,10,10,4
1239,1,3,1
1240,3,1,1
1241,9,7,5
1242,0,0,0
1243,2,12,4
1244,7,8,6
1245,4,4,1
1246,5,7,7
1248,1,0,0
1249,2,2,1
1250,9,9,0
1251,5,1,0
1252,9,8,1
1254,1,5,0
1255,7,7,0
1256,0,0,0
1257,10,7,0
1258,0,0,0
1259,3,3,0
1260,0,0,1
1263,0,0,0
1264,7,7,1
1265,0,0,0
1267,9,10,3
1268,8,8,0
1269,0,1,0
1270,0,1,0
1273,0,0,1
1275,5,2,2
1277,10,11,1
1278,9,0,15
1279,2,2,2
1280,4,8,0
1281,2,2,0
1282,10,10,11
1283,7,4,5
1285,8,10,5
1286,2,2,0
1288,9,13,14
1289,9,8,1
1291,2,2,2
1292,0,0,0
1293,7,17,15
1294,14,12,5
1295,7,5,0
1296,2,2,2
1297,0,7,7
1298,4,7,1
1299,7,7,7
1301,2,2,1
1303,2,1,2
1304,7,8,0
1306,0,0,0
1307,9,2,15
1308,2,2,2
1309,4,1,1
1310,2,3,0
1311,2,7,6
1312,7,7,1
1314,6,7,5
1315,8,5,7
1317,2,2,1
1318,4,0,1
1319,7,7,7
1321,1,8,0
1322,7,7,1
1324,8,6,9
1329,2,9,11
1331,2,2,2
1333,2,2,1
1334,8,10,2
1336,9,11,9
1338,3,7,7
1340,2,0,0
1344,7,6,1
1346,8,8,8
1349,3,7,1
1350,6,1,1
1352,9,10,0
1355,7,7,1
1356,8,6,9
1358,2,2,1
1360,9,9,5
1361,2,3,0
1362,7,13,6
1363,9,8,0
1364,0,0,0
1367,2,3,0
1368,0,0,0
1369,7,0,0
1371,2,0,0
1372,7,8,3
1373,16,9,15
1374,4,0,0
1375,11,8,11
1377,7,7,7
1379,0,0,0
1380,2,2,3
1382,2,3,0
1383,11,11,4
1387,3,4,0
1389,2,7,6
1390,4,4,1
1391,2,2,3
1392,2,3,3
1394,4,3,1
1395,4,2,1
1396,2,2,1
1397,4,5,0
1399,2,2,1
1401,3,2,0
1402,7,8,1
1403,2,4,4
1405,2,7,7
1407,3,1,1
1408,7,9,0
1409,4,4,0
1411,2,2,0
1412,2,2,2
1415,2,2,0
1417,7,7,0
1419,9,9,0
1420,3,3,1
1421,7,7,7
1422,7,7,12
1423,8,5,1
1424,7,0,0
1425,4,1,0
1427,0,0,0
1428,2,2,0
1430,2,0,1
1431,3,3,1
1433,0,0,0
1434,0,4,1
1435,4,8,1
1436,2,2,0
1438,5,2,1
1439,2,2,2
1440,5,3,1
1441,2,0,1
1443,17,6,5
1445,4,3,0
1446,3,3,0
1447,4,2,0
1448,2,3,0
1449,7,7,0
1453,7,9,9
1457,7,3,4
1458,0,0,0
1459,8,7,4
1460,7,7,0
1461,2,2,0
1464,2,2,2
1465,1,2,1
1466,2,2,2
1467,2,2,2
1468,8,8,4
1469,4,3,1
1471,2,3,0
1472,8,8,8
1473,2,2,1
1474,1,2,1
1475,2,3,1
1477,3,3,0
1478,9,12,3
1479,1,2,2
1480,9,8,5
1481,0,0,0
1482,0,0,0
1483,9,8,2
1484,7,7,0
1485,8,9,6
1486,2,2,1
1487,3,0,0
1489,9,10,10
1492,0,0,0
1494,0,0,0
1495,0,0,0
1496,2,2,2
1497,7,4,0
1499,3,3,1
1501,2,2,1
1502,4,2,0
1503,4,2,1
1504,0,0,0
1506,0,0,0
1507,2,3,1
1509,2,2,1
1513,2,2,0
1514,6,7,1
1515,0,0,0
1516,2,0,0
1520,9,12,1
1522,7,7,0
1523,6,17,14
1525,0,2,2
1527,12,1,5
1529,8,3,3
1533,3,2,1
1534,4,0,1
1535,9,6,8
1537,2,7,7
1539,6,9,13
1541,10,7,5
1542,0,0,0
1543,8,7,3
1544,7,7,0
1545,3,2,0
1546,4,3,0
1547,8,9,13
1548,4,1,7
1549,14,7,5
1550,7,7,7
1551,1,0,0
1552,2,2,2
1553,8,7,7
1554,3,2,4
1555,1,5,2
1556,2,2,1
1557,7,7,7
1558,0,0,0
1560,2,2,2
1562,8,7,6
1563,3,2,1
1564,0,2,1
1568,2,3,1
1569,0,0,0
1572,7,9,1
1573,2,4,1
1574,5,2,1
1576,2,6,7
1577,0,0,0
1578,6,13,2
1580,2,1,2
1581,0,0,0
1582,8,7,7
1583,2,2,1
1585,0,0,0
1586,9,5,1
1587,2,4,0
1588,6,6,7
1590,4,3,1
1591,0,0,0
1592,2,2,2
1594,2,2,0
1595,0,1,0
1596,9,8,6
1597,2,7,7
1598,4,2,1
1599,4,2,0
1601,0,1,0
1602,0,12,0
1604,1,0,0
1605,2,3,1
1606,8,13,12
1607,2,2,0
1608,7,10,1
1609,4,1,1
1611,7,4,1
1612,7,5,4
1613,2,3,0
1614,2,1,1
1615,7,2,7
1617,6,4,1
1618,7,7,7
1619,7,7,0
1621,15,10,1
1622,3,0,0
1623,2,2,2
1624,0,0,0
1625,2,0,1
1627,8,7,0
1628,15,12,14
1630,11,9,2
1631,3,2,0
1633,2,8,3
1635,7,9,3
1638,4,2,0
1639,12,0,6
1640,4,7,7
1641,2,3,3
1642,7,2,0
1644,2,2,2
1645,2,2,2
1646,3,3,1
1647,2,2,0
1648,2,2,1
1649,2,3,0
1650,2,4,1
1651,2,2,0
1653,7,7,0
1654,4,0,1
1655,2,2,1
1656,11,11,1
1657,2,2,2
1658,8,9,7
1659,3,3,1
1661,11,12,2
1662,2,2,1
1664,4,4,0
1665,8,7,4
1666,10,11,6
1667,9,7,6
1668,11,9,2
1669,0,9,0
1670,2,4,0
1671,5,6,1
1673,0,2,0
1674,2,2,2
1675,3,3,3
1676,2,2,1
1677,7,0,0
1678,0,2,0
1680,2,2,0
1681,5,2,1
1682,2,2,0
1683,2,2,2
1684,4,2,1
1687,0,0,0
1689,3,2,1
1691,7,7,7
1692,0,0,0
1693,7,7,5
1694,2,2,1
1696,10,13,4
1697,0,0,0
1698,11,13,2
1700,3,3,1
1701,9,7,8
1702,2,2,0
1703,7,7,6
1704,4,4,1
1706,9,8,8
1707,3,4,0
1708,8,7,8
1709,3,2,1
1710,7,7,6
1712,15,4,14
1714,0,0,0
1716,5,10,14
1718,2,2,0
1719,6,6,8
1720,2,3,1
1721,2,3,0
1722,2,2,1
1724,0,0,0
1725,2,2,1
1727,7,9,0
1728,7,7,0
1729,0,8,0
1731,0,0,0
1732,6,3,0
1733,2,2,2
1734,0,0,0
1735,2,2,1
1736,4,4,1
1737,8,8,5
1739,3,2,0
1740,8,8,12
1744,0,3,0
1745,7,7,0
1746,2,1,2
1747,2,2,1
1749,2,2,0
1751,2,4,1
1752,2,2,2
1753,2,2,0
1754,7,7,1
1755,0,2,1
1756,7,7,1
1757,1,4,0
1758,0,0,0
1760,1,5,0
1761,0,0,0
1762,0,0,0
1763,0,7,1
1764,7,7,0
1766,0,0,1
1767,0,0,0
1768,3,4,0
1770,0,0,0
1771,8,7,1
1772,3,4,0
1774,14,7,0
1775,2,2,0
1778,7,8,1
1779,2,2,2
1780,0,0,1
1782,4,4,0
1783,0,0,0
1784,7,7,5
1786,2,2,2
1787,2,3,0
1789,1,2,2
1790,8,7,5
1792,3,3,2
1794,0,7,4
1797,7,7,7
1798,8,6,7
1799,3,3,0
1800,3,2,2
1801,2,2,2
1802,3,2,0
1803,0,0,0
1804,7,7,1
1805,10,8,3
1807,1,7,0
1809,3,8,0
1812,1,2,2
1813,2,2,1
1814,2,2,1
1815,14,5,13
1816,7,2,0
1818,1,4,1
1821,7,7,3
1822,3,3,0
1823,8,8,4
1824,9,14,14
1826,4,3,0
1827,11,10,14
1829,4,7,7
1830,1,7,1
1833,2,2,2
1834,2,2,1
1835,2,3,0
1836,3,2,1
1837,2,2,2
1839,0,0,0
1842,0,0,0
1844,2,0,2
1845,7,7,5
1847,0,0,0
1849,7,7,7
1850,4,2,0
1852,8,10,3
1853,0,0,0
1854,3,3,3
1856,2,0,2
1857,8,7,4
1858,2,2,2
1859,0,6,1
1860,0,0,0
1862,2,2,2
1863,17,8,2
1864,8,8,5
1865,0,0,0
1866,12,14,6
1867,10,9,12
1868,0,0,1
1869,7,7,0
1870,6,3,7
1871,2,2,2
1873,2,4,0
1875,0,0,0
1876,0,0,0
1878,0,0,0
1880,9,7,1
1881,8,2,0
1882,3,0,1
1883,2,2,1
1885,3,4,0
1886,2,2,0
1888,8,8,3
1890,1,8,0
1892,7,16,11
1893,0,0,1
1898,7,7,0
1900,17,7,4
1903,0,2,2
1905,2,0,3
1907,2,0,1
1908,2,3,1
1909,4,4,1
1911,7,7,5
1912,2,4,1
1915,2,1,0
1916,2,2,2
1918,7,7,7
1922,2,3,0
1924,4,9,0
1927,7,7,0
1928,0,0,0
1929,2,2,1
1931,3,2,1
1932,10,11,6
1933,0,2,2
1934,7,7,1
1935,0,0,0
1936,0,9,7
1937,11,7,0
1938,0,0,0
1939,1,3,0
1940,2,3,0
1941,4,3,4
1943,0,0,0
1944,0,0,0
1945,3,4,0
1947,3,4,1
1948,2,3,2
1949,4,2,0
1950,8,1,2
1951,7,1,1
1952,7,6,7
1954,3,2,0
1955,1,2,1
1956,8,7,8
1960,1,3,0
1961,0,0,0
1962,8,9,0
1965,7,7,0
1966,0,0,0
1967,7,8,0
1968,2,2,2
1969,3,3,2
1970,7,8,2
1971,9,9,0
1972,2,2,1
1973,9,4,1
1974,0,0,0
1975,8,10,11
1976,9,7,3
1979,7,8,4
1980,2,4,1
1981,3,2,1
1982,2,4,1
1985,9,4,9
1986,8,10,5
1987,0,2,1
1989,8,7,1
1992,2,2,0
1993,14,11,12
1994,1,0,0
1995,13,8,5
1996,2,2,1
1997,3,7,7
1998,3,2,1
1999,3,0,1
2000,8,12,5
2003,2,2,2
2007,2,2,1
2008,7,8,0
2009,7,1,8
2010,2,1,4
2012,0,0,0
2013,2,2,2
2014,7,7,1
2015,16,11,1
2016,10,7,5
2017,11,8,6
2018,3,4,0
2019,8,0,0
2020,3,2,1
2021,2,2,1
2022,0,3,1
2023,0,0,1
2024,7,4,3
2025,2,2,0
2026,12,9,1
2027,2,2,2
2031,6,14,4
2032,9,8,9
2034,7,10,0
2035,7,7,1
2036,12,11,11
2037,4,4,0
2038,2,2,1
2040,0,7,1
2041,7,9,1
2044,3,1,0
2045,3,0,0
2046,3,1,0
2048,2,2,2
2049,2,2,0
2051,3,2,0
2052,3,1,1
2053,3,3,0
2054,4,4,0
2055,2,0,2
2056,9,6,9
2057,4,7,1
2060,2,0,0
2061,2,3,0
2062,7,7,1
2064,2,3,0
2065,6,8,0
2068,3,2,1
